home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points,home_win_rate,home_avg_goals,home_avg_conceded,away_win_rate,away_avg_goals,away_avg_conceded
Korea DPR,Italy,1,0,Group stage,1966,2,120.0,1151.052136,12.0,1704.733836,0.1428571428571428,0.8571428571428571,3.0,0.5421686746987951,1.5421686746987953,0.927710843373494
Portugal,Bulgaria,3,0,Group stage,1966,2,5.0,1766.177547,87.0,1271.683325,0.4857142857142857,1.7428571428571429,1.1714285714285717,0.1153846153846153,0.8461538461538461,2.0384615384615383
England,Mexico,2,0,Group stage,1966,2,4.0,1827.048678,14.0,1687.481759,0.4324324324324324,1.4054054054054057,0.918918918918919,0.2833333333333333,1.0333333333333334,1.6833333333333331
Spain,Switzerland,2,1,Group stage,1966,2,2.0,1873.013187,19.0,1650.064179,0.4626865671641791,1.611940298507463,1.1194029850746268,0.3414634146341463,1.3414634146341464,1.7804878048780488
Uruguay,France,2,1,Group stage,1966,2,16.0,1673.068603,3.0,1869.428449,0.423728813559322,1.5084745762711864,1.2881355932203389,0.5342465753424658,1.8630136986301369,1.1643835616438356
Hungary,Brazil,3,1,Group stage,1966,2,41.0,1504.135797,6.0,1765.856297,0.46875,2.71875,1.78125,0.6666666666666666,2.0789473684210527,0.9473684210526316
Korea DPR,Chile,1,1,Group stage,1966,1,120.0,1151.052136,55.0,1452.939983,0.1428571428571428,0.8571428571428571,3.0,0.3333333333333333,1.2121212121212122,1.4848484848484849
Argentina,Spain,2,1,Group stage,1966,2,1.0,1876.118331,2.0,1873.013187,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.4626865671641791,1.611940298507463,1.1194029850746268
France,Mexico,1,1,Group stage,1966,1,3.0,1869.428449,14.0,1687.481759,0.5342465753424658,1.8630136986301369,1.1643835616438356,0.2833333333333333,1.0333333333333334,1.6833333333333331
Italy,Chile,2,0,Group stage,1966,2,12.0,1704.733836,55.0,1452.939983,0.5421686746987951,1.5421686746987953,0.927710843373494,0.3333333333333333,1.2121212121212122,1.4848484848484849
Portugal,Hungary,3,1,Group stage,1966,2,5.0,1766.177547,41.0,1504.135797,0.4857142857142857,1.7428571428571429,1.1714285714285717,0.46875,2.71875,1.78125
Brazil,Bulgaria,2,0,Group stage,1966,2,6.0,1765.856297,87.0,1271.683325,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.1153846153846153,0.8461538461538461,2.0384615384615383
England,Uruguay,0,0,Group stage,1966,1,4.0,1827.048678,16.0,1673.068603,0.4324324324324324,1.4054054054054057,0.918918918918919,0.423728813559322,1.5084745762711864,1.2881355932203389
Brazil,Chile,4,2,Semi-finals,1962,2,6.0,1765.856297,55.0,1452.939983,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.3333333333333333,1.2121212121212122,1.4848484848484849
Brazil,England,3,1,Quarter-finals,1962,2,6.0,1765.856297,4.0,1827.048678,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.4324324324324324,1.4054054054054057,0.918918918918919
England,Bulgaria,0,0,Group stage,1962,1,4.0,1827.048678,87.0,1271.683325,0.4324324324324324,1.4054054054054057,0.918918918918919,0.1153846153846153,0.8461538461538461,2.0384615384615383
Italy,Switzerland,3,0,Group stage,1962,2,12.0,1704.733836,19.0,1650.064179,0.5421686746987951,1.5421686746987953,0.927710843373494,0.3414634146341463,1.3414634146341464,1.7804878048780488
Hungary,Argentina,0,0,Group stage,1962,1,41.0,1504.135797,1.0,1876.118331,0.46875,2.71875,1.78125,0.5340909090909091,1.7272727272727273,1.1477272727272727
Brazil,Spain,2,1,Group stage,1962,2,6.0,1765.856297,2.0,1873.013187,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.4626865671641791,1.611940298507463,1.1194029850746268
Spain,Mexico,1,0,Group stage,1962,2,2.0,1873.013187,14.0,1687.481759,0.4626865671641791,1.611940298507463,1.1194029850746268,0.2833333333333333,1.0333333333333334,1.6833333333333331
Hungary,Bulgaria,6,1,Group stage,1962,2,41.0,1504.135797,87.0,1271.683325,0.46875,2.71875,1.78125,0.1153846153846153,0.8461538461538461,2.0384615384615383
Chile,Italy,2,0,Group stage,1962,2,55.0,1452.939983,12.0,1704.733836,0.3333333333333333,1.2121212121212122,1.4848484848484849,0.5421686746987951,1.5421686746987953,0.927710843373494
England,Argentina,3,1,Group stage,1962,2,4.0,1827.048678,1.0,1876.118331,0.4324324324324324,1.4054054054054057,0.918918918918919,0.5340909090909091,1.7272727272727273,1.1477272727272727
Hungary,England,2,1,Group stage,1962,2,41.0,1504.135797,4.0,1827.048678,0.46875,2.71875,1.78125,0.4324324324324324,1.4054054054054057,0.918918918918919
Chile,Switzerland,3,1,Group stage,1962,2,55.0,1452.939983,19.0,1650.064179,0.3333333333333333,1.2121212121212122,1.4848484848484849,0.3414634146341463,1.3414634146341464,1.7804878048780488
Uruguay,Colombia,2,1,Group stage,1962,2,16.0,1673.068603,13.0,1698.351858,0.423728813559322,1.5084745762711864,1.2881355932203389,0.4090909090909091,1.4545454545454546,1.3636363636363635
Brazil,Mexico,2,0,Group stage,1962,2,6.0,1765.856297,14.0,1687.481759,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.2833333333333333,1.0333333333333334,1.6833333333333331
Argentina,Bulgaria,1,0,Group stage,1962,2,1.0,1876.118331,87.0,1271.683325,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.1153846153846153,0.8461538461538461,2.0384615384615383
Brazil,Sweden,5,2,Final,1958,2,6.0,1765.856297,38.0,1509.785392,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.3725490196078431,1.568627450980392,1.431372549019608
Brazil,France,5,2,Semi-finals,1958,2,6.0,1765.856297,3.0,1869.428449,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.5342465753424658,1.8630136986301369,1.1643835616438356
France,Northern Ireland,4,0,Quarter-finals,1958,2,3.0,1869.428449,70.0,1366.564198,0.5342465753424658,1.8630136986301369,1.1643835616438356,0.2307692307692307,1.0,1.7692307692307692
Brazil,Wales,1,0,Quarter-finals,1958,2,6.0,1765.856297,37.0,1516.946629,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.125,0.625,1.25
Wales,Hungary,2,1,Group stage play-off,1958,2,37.0,1516.946629,41.0,1504.135797,0.125,0.625,1.25,0.46875,2.71875,1.78125
Sweden,Wales,0,0,Group stage,1958,1,38.0,1509.785392,37.0,1516.946629,0.3725490196078431,1.568627450980392,1.431372549019608,0.125,0.625,1.25
England,Austria,2,2,Group stage,1958,1,4.0,1827.048678,24.0,1597.404087,0.4324324324324324,1.4054054054054057,0.918918918918919,0.4137931034482758,1.4827586206896552,1.6206896551724137
Hungary,Mexico,4,0,Group stage,1958,2,41.0,1504.135797,14.0,1687.481759,0.46875,2.71875,1.78125,0.2833333333333333,1.0333333333333334,1.6833333333333331
France,Scotland,2,1,Group stage,1958,2,3.0,1869.428449,42.0,1503.34027,0.5342465753424658,1.8630136986301369,1.1643835616438356,0.1739130434782608,1.0869565217391304,1.7826086956521738
Sweden,Hungary,2,1,Group stage,1958,2,38.0,1509.785392,41.0,1504.135797,0.3725490196078431,1.568627450980392,1.431372549019608,0.46875,2.71875,1.78125
Argentina,Northern Ireland,3,1,Group stage,1958,2,1.0,1876.118331,70.0,1366.564198,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.2307692307692307,1.0,1.7692307692307692
Paraguay,Scotland,3,2,Group stage,1958,2,40.0,1505.349689,42.0,1503.34027,0.2592592592592592,1.1111111111111112,1.4074074074074074,0.1739130434782608,1.0869565217391304,1.7826086956521738
Brazil,England,0,0,Group stage,1958,1,6.0,1765.856297,4.0,1827.048678,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.4324324324324324,1.4054054054054057,0.918918918918919
Mexico,Wales,1,1,Group stage,1958,1,14.0,1687.481759,37.0,1516.946629,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.125,0.625,1.25
Sweden,Mexico,3,0,Group stage,1958,2,38.0,1509.785392,14.0,1687.481759,0.3725490196078431,1.568627450980392,1.431372549019608,0.2833333333333333,1.0333333333333334,1.6833333333333331
Hungary,Wales,1,1,Group stage,1958,1,41.0,1504.135797,37.0,1516.946629,0.46875,2.71875,1.78125,0.125,0.625,1.25
