home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Korea Republic,Algeria,2,4,Group stage,2014,0,25.0,1591.630886,28.0,1571.033293
Argentina,IR Iran,1,0,Group stage,2014,2,1.0,1876.118331,20.0,1619.58163
Germany,Ghana,2,2,Group stage,2014,1,10.0,1735.771984,73.0,1346.881205
Nigeria,Bosnia and Herzegovina,1,0,Group stage,2014,2,26.0,1586.688586,64.0,1387.215771
Italy,Costa Rica,0,1,Group stage,2014,0,12.0,1704.733836,52.0,1457.00228
Switzerland,France,2,5,Group stage,2014,0,19.0,1650.064179,3.0,1869.428449
Honduras,Ecuador,1,2,Group stage,2014,0,65.0,1378.970301,23.0,1598.51582
Colombia,Côte d'Ivoire,2,1,Group stage,2014,2,13.0,1698.351858,33.0,1540.869533
Uruguay,England,2,1,Group stage,2014,2,16.0,1673.068603,4.0,1827.048678
Japan,Greece,0,0,Group stage,2014,1,18.0,1661.576187,48.0,1473.187305
Australia,Netherlands,2,3,Group stage,2014,0,27.0,1579.34264,8.0,1751.097835
Spain,Chile,0,2,Group stage,2014,0,2.0,1873.013187,55.0,1452.939983
Cameroon,Croatia,0,4,Group stage,2014,0,44.0,1481.235245,11.0,1714.865572
Belgium,Algeria,2,1,Group stage,2014,2,9.0,1742.235945,28.0,1571.033293
Brazil,Mexico,0,0,Group stage,2014,1,6.0,1765.856297,14.0,1687.481759
Russia,Korea Republic,1,1,Group stage,2014,1,35.0,1527.237131,25.0,1591.630886
Germany,Portugal,4,0,Group stage,2014,2,10.0,1735.771984,5.0,1766.177547
IR Iran,Nigeria,0,0,Group stage,2014,1,20.0,1619.58163,26.0,1586.688586
Switzerland,Ecuador,2,1,Group stage,2014,2,19.0,1650.064179,23.0,1598.51582
France,Honduras,3,0,Group stage,2014,2,3.0,1869.428449,65.0,1378.970301
Argentina,Bosnia and Herzegovina,2,1,Group stage,2014,2,1.0,1876.118331,64.0,1387.215771
Colombia,Greece,3,0,Group stage,2014,2,13.0,1698.351858,48.0,1473.187305
Uruguay,Costa Rica,1,3,Group stage,2014,0,16.0,1673.068603,52.0,1457.00228
England,Italy,1,2,Group stage,2014,0,4.0,1827.048678,12.0,1704.733836
Côte d'Ivoire,Japan,2,1,Group stage,2014,2,33.0,1540.869533,18.0,1661.576187
Mexico,Cameroon,1,0,Group stage,2014,2,14.0,1687.481759,44.0,1481.235245
Spain,Netherlands,1,5,Group stage,2014,0,2.0,1873.013187,8.0,1751.097835
Chile,Australia,3,1,Group stage,2014,2,55.0,1452.939983,27.0,1579.34264
Brazil,Croatia,3,1,Group stage,2014,2,6.0,1765.856297,11.0,1714.865572
Netherlands,Spain,0,1,Final,2010,0,8.0,1751.097835,2.0,1873.013187
Uruguay,Germany,2,3,Third-place match,2010,0,16.0,1673.068603,10.0,1735.771984
Germany,Spain,0,1,Semi-finals,2010,0,10.0,1735.771984,2.0,1873.013187
Uruguay,Netherlands,2,3,Semi-finals,2010,0,16.0,1673.068603,8.0,1751.097835
Argentina,Germany,0,4,Quarter-finals,2010,0,1.0,1876.118331,10.0,1735.771984
Paraguay,Spain,0,1,Quarter-finals,2010,0,40.0,1505.349689,2.0,1873.013187
